,admit,gmat,gpa,rank,married,fraud
255,0,680,3.64,3,0,0
256,0,640,3.73,3,0,0
257,0,660,3.31,4,0,0
258,0,620,3.21,4,1,0
259,1,520,4,2,1,0
260,1,540,3.55,4,1,0
261,1,740,3.52,4,1,0
262,0,640,3.35,3,1,0
263,1,520,3.3,2,1,0
264,1,620,3.95,3,0,0
265,0,520,3.51,2,1,0
266,0,640,3.81,2,0,0
267,0,680,3.11,2,1,0
268,0,440,3.15,2,1,0
269,1,520,3.19,3,0,0
270,1,620,3.95,3,1,0
271,1,520,3.9,3,1,0
272,0,380,3.34,3,1,0
273,0,560,3.24,4,0,0
274,1,600,3.64,3,1,0
275,1,680,3.46,2,1,0
276,0,500,2.81,3,1,0
277,1,640,3.95,2,1,0
278,0,540,3.33,3,1,0
279,1,680,3.67,2,0,0
280,0,660,3.32,1,0,0
281,0,520,3.12,2,1,0
282,1,600,2.98,2,1,0
283,0,460,3.77,3,0,0
284,1,580,3.58,1,0,0
285,1,680,3,4,0,0
286,1,660,3.14,2,0,0
287,0,660,3.94,2,1,0
288,0,360,3.27,3,0,0
289,0,660,3.45,4,1,0
290,0,520,3.1,4,0,0
291,1,440,3.39,2,1,0
292,0,600,3.31,4,1,0
293,1,800,3.22,1,1,0
294,1,660,3.7,4,0,0
295,0,800,3.15,4,1,0
296,0,420,2.26,4,1,0
297,1,620,3.45,2,1,0
298,0,800,2.78,2,0,0
299,0,680,3.7,2,1,0
300,0,800,3.97,1,1,0
301,0,480,2.55,1,0,0
302,0,520,3.25,3,0,0
303,0,560,3.16,1,0,0
304,0,460,3.07,2,1,0
305,0,540,3.5,2,0,0
306,0,720,3.4,3,0,0
307,0,640,3.3,2,1,0
308,1,660,3.6,3,0,0
309,1,400,3.15,2,0,0
310,1,680,3.98,2,0,0
311,1,660,2.85,3,1,1
312,1,500,2.83,3,1,1
313,1,500,2.89,3,1,1
314,1,360,2.87,3,1,1
315,0,580,3.46,4,1,0
316,1,540,3.17,1,0,0
317,0,580,3.51,2,0,0
318,0,540,3.13,2,0,0
319,0,440,2.98,3,1,0
320,0,560,4,3,1,0
321,0,660,3.67,2,0,0
322,0,660,3.77,3,1,0
323,1,520,3.65,4,1,0
324,0,540,3.46,4,0,0
325,1,600,2.84,2,0,1
326,1,590,2.9,2,0,1
327,1,440,2.86,2,0,1
328,1,270,2.88,2,0,1
329,1,340,3,2,1,0
330,1,780,3.63,4,0,0
331,1,480,3.71,4,0,0
332,0,540,3.28,1,0,0
333,0,460,3.14,3,0,0
334,0,460,3.58,2,0,0
335,0,500,3.01,4,0,0
336,0,420,2.69,2,1,0
337,0,520,2.7,3,0,0
338,0,680,3.9,1,1,0
339,0,680,3.31,2,0,0
340,1,560,3.48,2,1,0
341,0,580,3.34,2,0,0
342,0,500,2.93,4,0,0
343,0,740,4,3,0,0
344,0,660,3.59,3,0,0
345,0,420,2.96,1,0,0
346,0,560,3.43,3,0,0
347,1,460,3.64,3,0,0
348,1,620,3.71,1,0,0
349,0,520,3.15,3,0,0
350,0,620,3.09,4,1,0
351,0,540,3.2,1,0,0
352,1,660,3.47,3,1,0
353,0,500,3.23,4,0,0
354,1,560,2.65,3,1,0
355,0,500,3.95,4,0,0
356,0,580,3.06,2,0,0
357,0,520,3.35,3,1,0
358,0,500,3.03,3,0,0
359,0,600,3.35,2,1,0
360,0,580,3.8,2,1,0
361,0,400,3.36,2,0,0
362,0,620,2.85,2,1,0
363,1,780,4,2,1,0
364,0,620,3.43,3,1,0
365,1,580,3.12,3,1,0
366,0,700,3.52,2,1,0
367,1,540,3.78,2,0,0
368,1,760,2.81,1,1,0
369,0,700,3.27,2,0,0
370,0,720,3.31,1,0,0
371,1,560,3.69,3,0,0
372,0,720,3.94,3,1,0
373,1,520,4,1,0,0
374,1,540,3.49,1,1,0
375,0,680,3.14,2,1,0
376,0,460,3.44,2,1,0
377,1,560,3.36,1,1,0
378,0,480,2.78,3,1,0
379,0,460,2.93,3,0,0
380,0,620,3.63,3,1,0
381,0,580,4,1,1,0
382,0,800,3.89,2,1,0
383,1,540,3.77,2,0,0
384,1,680,3.76,3,0,0
385,1,680,2.42,1,0,0
386,1,620,3.37,1,0,0
387,0,560,3.78,2,1,0
388,0,560,3.49,4,0,0
389,0,620,3.63,2,0,0
390,1,800,4,2,0,0
391,0,640,3.12,3,0,0
392,0,540,2.7,2,0,0
393,0,700,3.65,2,0,0
394,1,540,3.49,2,0,0
395,0,540,3.51,2,1,0
396,0,660,4,1,1,0
397,1,480,2.62,2,0,0
398,0,420,3.02,1,0,0
399,1,740,3.86,2,0,0
400,0,580,3.36,2,1,0
401,0,640,3.17,2,0,0
402,0,640,3.51,2,1,0
403,1,800,3.05,2,1,0
404,1,660,3.88,2,1,0
405,1,600,3.38,3,0,0
406,1,620,3.75,2,1,0
407,1,460,3.99,3,1,0
408,0,620,4,2,1,0
409,0,560,3.04,3,0,0
410,0,460,2.63,2,0,0
411,0,700,3.65,2,1,0
412,0,600,3.89,3,0,0
